Model_Dataset,lr,latent_dim,mask_size,mask_ratio,val_loss,topk,AUC
engine_wiring_ColorizationModel,0.0464158883361278,512,,,0.0093259182513544,1000,0.790263319044703
engine_wiring_AttentionColorizationModel,0.001,64,,,0.091907083203918,500,0.749453241186248
engine_wiring_UNetColorizationModel,0.0046415888336127,256,,,0.0072672920987794,65536,0.6685329367509405
engine_wiring_InpaintingModel,0.0464158883361278,512,16.0,,0.0110942022874951,65536,0.6790744466800804
engine_wiring_AttentionInpaintingModel,0.0021544346900318,256,16.0,,0.2200831512087269,1000,0.6953022482722421
engine_wiring_UNetInpaintingModel,0.0046415888336127,512,8.0,,0.0037903082802107,65536,0.6998075408975593
engine_wiring_MaskedAutoencoderModel,0.0021544346900318,512,,0.1847394698270313,0.0202201710719811,65536,0.6890473274429184
engine_wiring_AttentionMaskedAutoencoderModel,2.1544346900318835e-06,128,,0.0757130080123661,0.1744559368020609,500,0.8255839384130872
engine_wiring_UNetMaskedAutoencoderModel,0.01,64,,0.1482646266634475,0.0021366503481802,10000,0.7203219315895373
mvtec_ad_bottle_ColorizationModel,0.0372759372031493,256,,,0.002953007351607,1,0.864516129032258
mvtec_ad_bottle_AttentionColorizationModel,0.0019306977288832,256,,,0.2726980944474538,50,0.9612903225806453
mvtec_ad_bottle_UNetColorizationModel,0.0138949549437313,64,,,0.0006461648154072,100,0.6225806451612903
mvtec_ad_bottle_InpaintingModel,0.0372759372031493,512,16.0,,0.0029367393969247,1,0.8580645161290322
mvtec_ad_bottle_AttentionInpaintingModel,0.0138949549437313,64,16.0,,0.2645741204420725,10000,0.9
mvtec_ad_bottle_UNetInpaintingModel,0.0138949549437313,512,8.0,,0.0006944340226861,500,0.8032258064516129
mvtec_ad_bottle_MaskedAutoencoderModel,0.0372759372031493,128,,0.1981164693710051,0.0029869094335784,1,0.9225806451612902
mvtec_ad_bottle_AttentionMaskedAutoencoderModel,0.0019306977288832,64,,0.1545748707757878,0.0610870557526747,500,0.9000000000000001
mvtec_ad_bottle_UNetMaskedAutoencoderModel,0.0051794746792312,512,,0.1937180877270373,0.000949549934982,100,0.8161290322580645
mvtec_ad_capsule_ColorizationModel,0.0051794746792312,512,,,0.0054584163241088,5000,0.7008264462809917
mvtec_ad_capsule_AttentionColorizationModel,0.0019306977288832,64,,,0.1317702502012253,1,0.7322314049586778
mvtec_ad_capsule_UNetColorizationModel,0.0051794746792312,256,,,0.0017561571439728,50,0.7338842975206612
mvtec_ad_capsule_InpaintingModel,0.0019306977288832,512,8.0,,0.0175368379801511,1000,0.7305785123966942
mvtec_ad_capsule_AttentionInpaintingModel,0.0019306977288832,64,32.0,,0.1703784167766571,5000,0.7454545454545454
mvtec_ad_capsule_UNetInpaintingModel,0.0138949549437313,256,16.0,,0.0005546259111724,100,0.7570247933884298
mvtec_ad_capsule_MaskedAutoencoderModel,0.0019306977288832,256,,0.2367832028104523,0.0081507900729775,1000,0.7404958677685951
mvtec_ad_capsule_AttentionMaskedAutoencoderModel,0.0019306977288832,512,,0.2448855549383951,0.0834488973021507,1,0.7471074380165288
mvtec_ad_capsule_UNetMaskedAutoencoderModel,0.0019306977288832,64,,0.1203210851075261,0.0042942411266267,50,0.7404958677685951
mvtec_ad_hazelnut_ColorizationModel,0.0031622776601683,512,,,0.0184933892451226,1,0.9857142857142858
mvtec_ad_hazelnut_AttentionColorizationModel,0.0015848931924611,256,,,0.057040873914957,50,0.9814285714285714
mvtec_ad_hazelnut_UNetColorizationModel,0.0063095734448019,64,,,0.0015680211654398,50,0.9814285714285715
mvtec_ad_hazelnut_InpaintingModel,0.0063095734448019,256,8.0,,0.0018689138523768,1,0.99
mvtec_ad_hazelnut_AttentionInpaintingModel,0.0501187233627272,512,16.0,,0.0571285225450992,50,0.8885714285714286
mvtec_ad_hazelnut_UNetInpaintingModel,0.0125892541179416,64,8.0,,0.0011388350103516,50,0.9671428571428572
mvtec_ad_hazelnut_MaskedAutoencoderModel,0.0031622776601683,256,,0.2076069096050012,0.0163405099883675,50,0.9885714285714285
mvtec_ad_hazelnut_AttentionMaskedAutoencoderModel,0.0251188643150958,256,,0.1080352770496824,0.0569431483745574,50,0.8885714285714286
mvtec_ad_hazelnut_UNetMaskedAutoencoderModel,0.0063095734448019,512,,0.0975135724520457,0.001658087625401,50,0.9971428571428571
mvtec_ad_toothbrush_ColorizationModel,0.0031622776601683,512,,,0.0098712379112839,5000,0.7777777777777778
mvtec_ad_toothbrush_AttentionColorizationModel,3.1622776601683788e-06,256,,,0.0762786939740181,1,0.6333333333333333
mvtec_ad_toothbrush_UNetColorizationModel,0.0031622776601683,64,,,0.007457350147888,10000,0.9555555555555556
mvtec_ad_toothbrush_InpaintingModel,0.0031622776601683,64,16.0,,0.0088198371231555,65536,0.7333333333333334
mvtec_ad_toothbrush_AttentionInpaintingModel,9.999999999999998e-05,256,32.0,,0.0764268264174461,50,0.6333333333333334
mvtec_ad_toothbrush_UNetInpaintingModel,0.0031622776601683,256,8.0,,0.0022193572949618,1000,0.8555555555555556
mvtec_ad_toothbrush_MaskedAutoencoderModel,0.0031622776601683,512,,0.143454840277352,0.0090172723866999,500,0.8888888888888891
mvtec_ad_toothbrush_AttentionMaskedAutoencoderModel,0.0031622776601683,64,,0.1800973908767909,0.0398840755224227,50,0.9666666666666667
mvtec_ad_toothbrush_UNetMaskedAutoencoderModel,0.0031622776601683,256,,0.193841960816207,0.0043592918664216,50,0.811111111111111
